"ID","Date","Account","Amount","Memo","Status"
"JE-20260408-006","2026-04-08","Utilities","2000","Utilities ABC","POSTED"
"JE-20260408-005","2026-04-08","Office Supplies","900","Office Supplier","POSTED"
"JE-20260408-004","2026-04-08","Travel Expense","89999.99","abcdc","POSTED"
"JE-20260408-003","2026-04-08","Travel Expense","20000","Travel Expense ","POSTED"
"JE-20260408-002","2026-04-08","Utilities","10000","Utilities Expense ","POSTED"
"JE-20260408-001","2026-04-08","Marketing","50000","Marketing Expense ","POSTED"
"JE-20260407-007","2026-04-04","Equipment","15000","New laptop purchased for developer","POSTED"
"JE-20260407-006","2026-04-03","Utilities Expense","750","Electricity bill April","POSTED"
"JE-20260407-005","2026-04-03","Rent Expense","3000","April office rent payment","POSTED"
"JE-20260407-004","2026-04-02","Accounts Receivable","8500","Client payment received","POSTED"
